front,back,frequency,
야식,late-night snack,4594,
홍수,flood,4595,
따로따로,"separately, individually",4596,
사돈,"relatives by marriage, in-laws",4597,
창가,area near window,4598,
보안,security,4599,
직진하다,to go straight,4600,
치수,"size, measurement",4601,
완결,"completion, conclusion",4602,
사냥하다,to hunt,4603,
야외,"outside, open air",4604,
질병,"disease, illness",4605,
접하다,"to learn, hear",4557,
띄우다,to make something fly or float;to send,2841,
속담,"saying, proverb",4608,
하마,hippo,3325,
호두,walnut,3792,
좋아지다,to become better;to become fond of,1268,
닷새,five days,3470,
하여튼,"anyway, anyhow, in any case",2060,
뇌,brain,3576,
벼,rice,4908,
웨이터,waiter,4613,
성실하다,"to be sincere, faithful",3723,
애독자,(devoted) reader,4614,
햄,ham,2173,
베이지색,beige,3597,
접촉,"contact, touch",4617,
수화기,telephone receiver,4618,
액운,"bad luck, misfortune",4619,
명단,list of names,4620,
어학연수,language study abroad,4538,
책자,"booklet, brochure",4621,
입장권,admission ticket,4233,
과수원,"orchard, fruit garden",4622,
동구,entrance to a village,4623,
거르다,"to skip, miss;to filter (out)",4624,
끼니,meal,4625,
검사관,"inspector, examiner",4626,
당첨되다,to win the prize,3556,
선곡,selection of music,4628,
마무리하다,"to finish, finalize, complete",4629,
욕설,"insult, abusive language",4630,
입장,"position, situation;admission",2095,
학제,school system,4632,
이력서,"resume, CV",2944,
연차,annual,4634,
월차,"every month, monthly",4519,
거래,"deal, dealings, trade",4636,
매출,sales,4637,
협상,"negotiation, talks",4639,
접대,"entertainment, reception, hospitality",4640,
선박,big ship,4539,
정감,"feeling, emotion, sentiment",4641,
개학하다,for school to start (after vacations),4642,
어설프다,"to be imperfect, not adequate, sloppy",4651,
익명,anonymity,4644,
돌아서다,to turn (around),4645,
아득하다,"to be far away, in the distance",4646,
문맹,illiteracy,4647,
손발,hands and feet,3609,
예민하다,"to be sharp, keen, acute, sensitive",4615,
상무,director,4650,
긴장감,"tension, suspense",4080,
무난하다,"to be easy, safe, acceptable",4652,
오그라들다,"to shrink, shrivel",4653,
어미,ending;(animal) mother,4654,
일꾼,worker,4655,
다소,"more or less, to some degree",3388,
산뜻하다,"to be fresh, refreshing",4657,
차분하다,"to be calm, cool",4658,
기일,"anniversary of one's death;fixed date, appointed day",4659,
소송,lawsuit,4660,
변태,pervert,4661,
출세하다,to have great success in life,4662,
음모,"conspiracy, scheme",4663,
계략,"scheme, trick, plot",4664,
문득,suddenly,4036,
내쉬다,"to exhale, breathe out",4666,
의욕,"will, drive",4667,
봉변,"humiliation, mishap",4668,
헐다,"to tear down, demolish",4669,
정수기,water purifier,2115,
쓰러지다,"to fall down, drop down, collapse",4671,
생방송,live broadcast,4672,
묘미,"charm, beauty",4673,
공손하다,"to be polite, courteous",4674,
명찰,name tag,4675,
자취,"trace, trail",4676,
무의식적,"unconscious, involuntary",4677,
상큼하다,"to be fresh, refreshing",4678,
멍들다,to get a bruise,4679,
명곡,"classic, musical masterpiece",4680,
대결,"contest, confrontation, fight",4681,
중독성,addictiveness;toxicity,4682,
마귀할멈,witch,4683,
또박또박,"clearly, neatly",4684,
식상하다,"to be fed up, sick and tired",4685,
시범,"setting an example, demonstration",4686,
하나씩,one by one,2152,
하락,"drop, fall, decrease",4688,
물어내다,"to pay for, compensate",4689,
눈길,"snowy road;eyes, line of vision",3795,
회의실,conference room,3724,
계산대,"counter, checkout",3491,
국회,national assembly,4472,
동아줄,rope,4694,
깃털,feather,4695,
독서실,reading room,2698,
상금,"prize money, award (cash)",4697,
사극,historical drama,2626,
여사,"Mrs., madame",4699,
주거,"residence, dwelling",4838,
범위,"scope, range, extent, limits",4700,
별명,nickname,4701,
유출되다,"to be spilled, leaked",4702,
중복,"overlap, duplication",4703,
수락,"acceptance, consent",4704,
등급,"class, grade, ranking",4705,
뒤져보다,"to look for, hunt after, rummage",4706,
수정,modification;correction;fertilization,4707,
분주하다,to be busy,4708,
꽃잎,petal,3548,
흩날리다,"to scatter, flutter, blow",4710,
비틀다,to twist,4711,
넘치다,"to overflow, run over",2316,
반기다,"to greet, welcome",4713,
미남,good-looking man,3697,
학문,"learning, study",4715,
청와대,"the Blue House, Korean presidential mansion",4716,
강제,"coercion, by force",2870,
황색,yellow,1983,
노년기,old age,4719,
잔인하다,"to be cruel, brutal",3355,
분장하다,"to put on make up, dress as",4721,
벌리다,"to open, widen, stretch out",2699,
충치,"cavity, decayed tooth",4410,
꾸준히,"steadily, consistently",2903,
흔들리다,"to shake, sway, quake",1956,
미녀,beautiful woman,3882,
왕비,"queen, empress",4796,
귀국하다,to return to one's home country,3104,
중순,the middle ten days of a month,4722,
발휘하다,"to demonstrate, show",4031,
지장,"hindrance, obstacle, harm;thumbprint",4725,
시댁,one's husband's home (family),4592,
곧잘,"quite well, frequently",4723,
어구,phrase;fishing gear,4724,
재작년,two years ago,3962,
비자,visa,4726,
기러기,wild goose,4727,
바구니,wicker basket,4728,
소나무,pine tree,2826,
저고리,Korean traditional jacket,4730,
투수,pitcher,4731,
도토리,acorn,4732,
까치,magpie,4733,
폐,lungs;trouble,4734,
외래어,loan words,4736,
궤도,"track, orbit",4738,
외가,one's mother's parents' home,4739,
신작,new (piece of) work,4740,
늪,"swamp, marsh, bog",4741,
분식,flour-based food,4742,
장님,blind person,4743,
펄럭펄럭,"with a flutter, flapping",4744,
기이하다,"to be strange, odd",4745,
내려앉다,"to collapse, fall down",4746,
허용되다,"to be permitted, be approved",4097,
쪽지,"note, message",3694,
실명,one's real name;blindness,4749,
바늘,needle,3709,
앞줄,front row,3731,
생강,ginger,3883,
헛소문,groundless rumor,4751,
물비누,liquid soap,2423,
통합,"combination, integration, unity",3804,
입장료,admission fee,4540,
일시,date and time;for a time,4752,
저자,author,4753,
강사,"speaker, lecturer, instructor",4754,
수다쟁이,talkative person,4755,
기차역,train station,2182,
안내원,guide,3039,
나열하다,to list,4756,
햇빛,"sunlight, sunshine",2070,
사진관,photo studio,3790,
주중,weekdays,4758,
원룸,studio (apartment),4104,
새다,"to leak, escape;to dawn",4757,
보증금,(security) deposit,4648,
타자,"typing;batter, hitter",4761,
상대편,the other party,3610,
개시하다,"to begin, start, open",4763,
중개인,"broker, agent, middleman",5104,
쇼핑센터,shopping center,1493,
전세,lease of a house on a deposit basis;charter;war situation,4768,
집주인,"landlord, house owner",1415,
놀이기구,amusement park rides,2920,
전달하다,"to deliver, convey",3372,
베란다,porch,4764,
별나다,"to be peculiar, strange",4765,
칼날,blade of a knife,4766,
권력,power,4767,
굳이,"firmly, positively",3207,
국화,chrysanthemum,4769,
좁히다,"to narrow, restrict",4770,
장가가다,to get married (for a man),4771,
감시하다,"to watch, observe, do surveillance",4772,
운영하다,"to manage, run, operate",4037,
설치,installation,3995,
폭로하다,"to disclose, expose",4775,
상,"award, prize;table",4776,
할부,monthly installment plan,4777,
초보자,"beginner, novice",4103,
조정,"adjustment, modification;mediation;rowing",4778,
무디다,"to be blunt, dull",4779,
눈빛,"eyes, look",2394,
우수하다,"to be superior, excellent",4781,
고무신,rubber shoes,1771,
해롭다,"to be harmful, bad",4783,
축소하다,"to reduce, cut down",4784,
물집,blister,4785,
절레절레,shaking one's head,4786,
거두다,"to harvest, reap, gain",4375,
곡식,"grain, cereals",4788,
오락,"entertainment, pastime, recreation",4789,
하이웨이,highway,4790,
산꼭대기,top of a mountain,4791,
전환,"change, switch",3311,
코스,"course, route",4787,
전문적,"specialized, professional",3546,
옷차림,"dress, attire, getup",4792,
지팡이,"walking stick, cane, wand",4793,
계곡,valley,4123,
유리창,glass window,1764,
보호자,"guardian, protector",3314,
보건소,health center,4794,
기혼,married,4795,
일상생활,everyday life,1710,
만담,"gag, comic talk",4797,
밥맛,appetite,4008,
친근하다,"to be familiar, informal, friendly",4799,
개방하다,"to open, unbar",4631,
잠옷,"pajamas, nightclothes",3967,
놀이동산,amusement park,4798,
송별회,farewell party,2878,
공공기관,public institution,4800,
처방전,prescription,4801,
시행,"enforcement, implementation",4802,
구청,district office,4803,
수년,a number of years,4804,
불법,"illegality, unlawfulness",2592,
강당,lecture hall,4806,
핫도그,hotdog,966,
학생회관,student center,4811,
찬밥,cold boiled rice,4511,
물리학,physics,4807,
변소,"bathroom, toilet",4808,
조교,teaching assistant,4809,
룸메이트,roommate,4810,
외아들,only son,4074,
가렵다,"to be itchy, feel itchy",4812,
물리다,to be bitten;to be fed up,4813,
재생하다,"to remake, regenerate, recycle, play [a video]",4814,
공학,engineering,4815,
당초에,"initially, originally",4816,
쾌적하다,"to be pleasant, nice, comfortable",4817,
칼국수,chopped noodles,4818,
쌈밥,rice wrapped in greens,3894,
바퀴,wheel; round;cockroach,4820,
썰매,"sled, sleigh",4821,
망가지다,"to break down, be damaged",4822,
인출하다,to withdraw,4823,
적히다,to be written down,4116,
전봇대,telephone pole,4825,
새기다,"to engrave, carve",4826,
길가,roadside,4827,
석유,"oil, petroleum",4082,
머리핀,hairpin,4828,
정찰제,fixed-price system,4829,
측면,"side, flank",4830,
도구,"tool, instrument",3273,
수단,"means, way",3279,
주어,subject,4833,
친목,friendship,4834,
행인,"passerby, pedestrian",4835,
전골,beef with vegetables cooked in a casserole,4836,
무역항,trade port,4839,
대도시,big city,3944,
수족관,aquarium,4841,
물속,inside water,2247,
식물원,botanical garden,4843,
새끼손가락,little finger,4844,
사당,shrine,4845,
휴양지,"rest area, resort, vacation spot",3774,
여행지,destination,2224,
복종하다,to obey,4846,
기껏,to the best of one's ability,4847,
대리,"deputy, proxy",3526,
김장,kimchi prepared for winter,4842,
한옥,Korean-style house,2431,
열매,"fruit, nut, berry",4859,
진행자,"presenter, host, MC",3853,
지폐,paper money,4848,
대청소,general cleaning,4849,
국자,ladle,4850,
앞뒤,"front and back, before and behind",4851,
대조하다,"to contrast, compare",4852,
체력,physical strength,4853,
의무,"obligation, duty",4854,
기획,planning,4855,
부서,"department, division",4856,
의뢰인,client,4857,
짠돌이,"cheap (stingy, frugal) person",4858,
튀김,fried food,4573,
메모지,"memo pad, notepad",4860,
비기다,to end in a tie,4861,
환갑,sixtieth birthday,4862,
적응하다,"to adapt, adjust",3925,
고사,examination,4863,
골,goal;valley;brain,3846,
하키,hockey,4865,
법학,law,4866,
인용,"quotation, citation",4867,
판사,judge,4868,
긋다,to draw a line,4869,
기본형,basic form,3940,
기다,to crawl,4871,
어지르다,to make a mess,4872,
초청하다,to invite,4873,
확장하다,"to expand, extend",4874,
오류,"error, mistake",4875,
문의,inquiry,4876,
관리자,"manager, administrator",3749,
체계,system,4878,
만족도,level of satisfaction,4879,
개편,"reorganization, reform",4880,
제시간,"scheduled time, appropriate time",4881,
여부,or not,4882,
이용자,user,3091,
단독,"single, solo, independent",4883,
상승하다,"to rise, climb, increase",4884,
입양하다,to adopt a child,4885,
이빨,tooth,4886,
손주,grandchildren,3907,
무능력하다,"to be incompetent, incapable",4887,
비닐,"plastic, vinyl",4888,
분리하다,to separate,3484,
원상복구,restoration to the original state,4890,
은퇴하다,to retire,4891,
새어머니,stepmother,4892,
가면,mask,4893,
채권자,creditor,4894,
채무,debt,4895,
불륜,"affair, adultery",4896,
초점,focus,3762,
정면,"front, facade",4900,
악마,devil,4901,
분리수거하다,to separate (trash),4438,
탈진하다,"to be exhausted, drained",4897,
액체,liquid,4898,
우두머리,"leader, chief, boss",4899,
앞일,future,4281,
조직,"group, organization",2808,
구성원,member,4435,
상업,"commerce, business",4903,
금하다,"to prohibit, forbid, ban",4904,
고유하다,"to be unique, distinct, innate",4905,
밤낮,day and night,3262,
동의어,synonym,4907,
학점,"credit, grade",4864,
대출,"loan, lending",4530,
출력하다,to print out,4910,
경비,"expenses;guard, security",4911,
철학,philosophy,3348,
유형,"type, category",4912,
단서,"clue, lead;condition",4913,
올케,the wife of a girl's brother,4914,
전망,"view, prospect",3964,
장단점,"pros and cons, strengths and weaknesses",3513,
관리비,"management expenses, maintenance cost",2738,
결제,payment,4918,
금액,amount of money,4919,
추첨하다,to draw lots,4920,
농가,"farmhouse, farming family",4921,
벨트,belt,2847,
한도,limit (regarding money),4928,
계좌,bank account,4369,
합리적,"rational, reasonable",4922,
망상,delusion,4923,
수직,vertical,4924,
매형,one's elder sister's husband,4906,
낭독하다,"to read aloud, recite",4926,
맛보다,"to taste, try",4927,
윗사람,"one's senior, one's superior",3674,
눈부처,one's image reflected in a person's eye,4929,
처남,brother of one's wife,4447,
청혼하다,to propose marriage,4931,
창,window;spear,4932,
표적,target,4933,
혼란,"confusion, turmoil, chaos",4934,
덫,"trap, snare",4935,
청첩장,wedding invitation,4936,
태우다,"to burn;to give a ride, take aboard",2417,
차편,transportation,4939,
마땅하다,"to be suitable, appropriate, to deserve",4941,
시체,corpse,4942,
탄생하다,to be born,4943,
일정,schedule,2076,
당구,billiards,4945,
가뭄,drought,4930,
자수하다,to turn oneself in,4946,
대가족,"large family, extended family",3855,
떠올리다,"to recall, recollect",4948,
줄어들다,"to grow smaller, decrease",3400,
설문지,questionnaire,4950,
콤플렉스,complex,4042,
광화문,Gwang Hwa Gate,3326,
광장,"plaza, square",2551,
둘러싸다,"to surround, enclose",3741,
당기다,"to pull, draw, yank",4951,
감각,"sense, feeling",3466,
샅샅이,"everywhere, all over",4953,
꽃바구니,flower basket,4954,
찻집,teahouse,2896,
묶다,"to tie, bind",3345,
목수,carpenter,3442,
미지근하다,"to be lukewarm, tepid",4358,
앵무새,parrot,3886,
요술,"magic, sorcery",4955,
가라앉다,"to sink, settle",4956,
촛불,candlelight,3528,
서예,calligraphy,3578,
탈춤,masked dance,3000,
에펠탑,Eiffel Tower,3356,
체류하다,to stay,4959,
면회,visit,4960,
신세,"debt, life",4961,
며느리,daughter-in-law,2487,
승리,victory,4963,
좌측,one's left,4964,
노선도,route map,4965,
따위,"etc., and the like",4966,
날로,"day by day;raw, uncooked",4967,
알아차리다,"to realize, notice",4968,
운수,"fortune, luck;transportation",4969,
유래,origin,4970,
이를테면,"for instance, so to speak",3965,
계기,"opportunity, motive;instrument",4972,
청명하다,"to be fine, clear",4973,
재능,"talent, gift",4025,
정책,policy,4962,
논란,"controversy, dispute",4975,
취지,"purpose, object",4976,
오염되다,"to be contaminated, polluted",3581,
능히,easily,4978,
전보,telegram,4979,
등기우편,registered mail,4977,
우체통,mailbox,4981,
집어넣다,"to put into, bring in",4982,
창구,"window, counter",4983,
성능,"efficiency, performance",4984,
환율,exchange rate,4985,
원작,original (work),4986,
받아쓰다,"to take dictation, write down",4987,
도우미,"helper, assistant",4988,
큰아들,one's eldest son,1981,
짭짤하다,to be a little salty,4990,
열연,enthusiastic performance,4991,
덮이다,to be covered,4992,
앓다,"to be ill, suffer, be troubled",3087,
본래,"originally, primarily, by nature",2760,
펼쳐지다,"to spread, stretch out, unfold",2579,
폭풍우,rainstorm,2455,
애태우다,"to worry, be anxious",4994,
끊기다,"to be cut off, stopped, broken",2533,
들여다보다,"to look into, peep, gaze",2981,
온통,"all, wholly, entirely",2876,
거만하다,"to be arrogant, haughty",4995,
유로화,euro,3896,
체중,body weight,4997,
대여하다,"to rent, lend, loan",4998,
인식,"recognition, awareness",4999,
완성하다,"to complete, finish",5000,
유창하다,to be fluent,4234,
대중교통,public transportation,2757,
음식물,food (and drink),4334,
단말기,terminal,5002,
끈,"string, cord",4026,
묘사,description,5003,
주간,week;daytime,5004,
엿새,six days,5005,
예언,"prophecy, prediction",5006,
경영학,business administration,2862,
수식하다,to modify,5008,
외교관,diplomat,3607,
학력,"level of education, academic background;academic ability",5010,
도리,"duty, reason",5011,
넘기다,to turn over,3750,
추신,P.S.,5013,
병들다,to become sick,1355,
호칭,"title, name",5014,
상급생,senior (in higher class than you),5015,
비록,"even though, even if",5016,
반영하다,to reflect,4182,
세제,detergent,5017,
그루,counter for trees,5018,
나뭇가지,tree branch,5019,
술래잡기,"tag, hide-and-seek",5020,
어느덧,before you know it,5021,
아낌없이,"generously, ungrudgingly, freely",4819,
금반지,gold ring,4774,
스승,teacher,4241,
짤막하다,"to be short, choppy",5022,
민망하다,to be embarrassed,4571,
오진,wrong diagnosis,5024,
이치,"reason, logic",5025,
벗어나다,"to get out, deviate",2959,
과도하다,to be excessive,5027,
자격증,"certificate, license",5028,
각서,"memorandum, note of promise",5029,
은신처,"hideout, hiding place",5030,
동정,"sympathy, pity;movements;virginity",5031,
숙취,hangover,5032,
보름달,full moon,5033,
금연석,non-smoking section,5034,
흡연석,smoking section,5035,
납치하다,to kidnap,3422,
암호,"code, cipher",5041,
문명,civilization,5042,
지불하다,to pay,5043,
열흘,ten days,4303,
거부하다,"to refuse, deny, reject",3773,
양로원,nursing home,5046,
줄무늬,stripes,3523,
세련되다,"to be polished, refined",5047,
물방울,drop of water,5048,
수선하다,"to mend, repair",5049,
호박,"zucchini, pumpkin;amber",5050,
훗날,"some day, the future",3423,
유적지,historical site,3363,
해돋이,sunrise,3938,
해양,"the ocean, marine",5052,
장기간,long time,3926,
생선회,"sashimi, sliced raw fish",3517,
고궁,old palace,3737,
잔디밭,lawn,3971,
하품하다,to yawn,5053,
금고,"safe, vault",5054,
표지판,sign,5055,
접근하다,"to approach, come close, access",2866,
칠하다,to paint,5057,
관리실,administrative office,4588,
펼치다,"to open, unroll, outstretch",2212,
미워하다,"to hate, loathe",1859,
아드님,son (hon.),2470,
수능,college entrance exams (short from 수학능력시험),4643,
택일,choosing one;choosing the day,5060,
전채,appetizer,5061,
출출하다,to be slightly hungry,5062,
위반하다,"to violate, break",2956,
알,"egg, spawn",2967,
앞서다,"to go before, precede",2819,
반죽,dough,4471,
악역,villain,5064,
차세대,next generation,5065,
심기,"mood, temper",5066,
전매특허,patent,5067,
악행,"evil deed, wrongdoing",5068,
오슬오슬,shivering,5069,
퐁당,with a splash,5070,
튀기다,to fry;to splash,3531,
김치전,kimchi pancake,4081,
긴하다,"to be important, urgent, essential",5071,
삽입하다,to insert,5072,
속성,attribute;quick,5073,
전송하다,"to send, transmit",5074,
골고루,"evenly, equally",4478,
송편,half-moon-shaped rice cake,5076,
규정,"rule, regulation",4083,
유람선,"cruise ship, excursion boat",5078,
불꽃놀이,fireworks,5079,
통로,"aisle, passage",5080,
궁궐,royal palace,5081,
여행용,for travel,3027,
파다,"to dig, excavate",2304,
수하물,luggage,4691,
물기,moisture,5077,
낯설다,to be unfamiliar,2691,
제한,"limit, restriction",2886,
마주서다,to stand face to face,4748,
후춧가루,ground pepper,1968,
신용,"trust, credibility",2678,
온몸,entire body,3054,
정,"affection, attachment, emotion",2363,
정신적,mental,2220,
증상,symptom,2537,
한꺼번에,"all at once, all together",3353,
껍질,"skin, bark, peel, nutshell",1973,
지속되다,"to last, continue",5083,
개업하다,"to open, start (a business)",3370,
염소,goat;chlorine,4507,
고래,whale,4173,
부근,neighborhood,3332,
반장,"class president, leader",3180,
역사가,historian,3129,
연구자,researcher,3357,
조그맣다,"to be tiny, small",2871,
줄기,"trunk, stem",3266,
년대,(period of) years,1204,
후반,second half,3154,
지니다,"to keep, carry, have",2279,
의원,member of parliament or assembly or congress;clinic,2321,
나물,seasoned vegetables,2281,
물개,seal,3988,
벽돌,brick,3902,
철새,migratory bird,4687,
디자이너,designer,3806,
붐비다,"to be crowded, packed",4418,
농민,farmer,2818,
대책,countermeasure,3725,
셈,"figures, calculation",4011,
불구하다,to disregard,3928,
지하철역,subway station,837,
도쿄,Tokyo,887,
구두쇠,"miser, cheapskate",3161,
담당자,person in charge,3929,
뜨개질,knitting,4585,
멋쟁이,"dandy, sharp dresser",4320,
성명,full name;statement,2838,
선로,"train tracks, railroad",3239,
안내문,notice,3726,
점검하다,"to inspect, check",3641,
주걱,"spatula, paddle",4824,
중고차,used car,4750,
휴학하다,to take time off from school,3568,
삼국,three countries,4131,
떼다,"to take off, remove, detach",2843,
달아나다,"to run away, escape",3090,
소리치다,"to shout, yell",2194,
기울다,"to tilt, lean, decline",3242,
쓰이다,"to be used, serve as;to be written",2356,
공예,craft,5075,
마중하다,to (come to) meet someone,3677,
짖다,"to bark, howl",3935,
곱슬곱슬하다,to be curly,2789,
턱수염,beard,2433,
턱,"chin, jaw;elevated place;feast",2064,
층지다,to have layers,4958,
호출기,pager,4909,
조리법,recipe,4122,
지급하다,"to provide, pay",3505,
수표,check,2369,
명세서,(detailed) statement,3535,
단풍나무,maple,3019,
직장인,(office) worker,3585,
하룻밤,"one night, overnight",2505,
폭설,heavy snowfall,3763,
수량,"quantity, amount;quantity of water",4062,
탁하다,"to be murky, muddy, stuffy",4151,
명소,"notable sights, attractions",3796,
딸꾹질하다,to have hiccups,4399,
별도,"separate, additional",4155,
독수리,eagle,4944,
배우자,"spouse, partner",4870,
견학,"field trip, tour",4709,
세종대왕,the Great King Sejong,4048,
조선시대,the Joseon period,4106,
경호원,"bodyguard, escort",4609,
통치,"rule, reign",4693,
침착하다,"to be composed, calm",4665,
소극적,"passive, negative",4714,
인수하다,"to take over, accept",5084,
제시하다,"to suggest, propose, present",3404,
불과하다,to be nothing more than,5012,
작용,"action, effect, function",3188,
공업,industry,3290,
경향,"tendency, trend",2736,
반면에,on the other hand,3458,
특성,"characteristic, nature, property",2230,
서럽다,"to be sad, sorrowful",4111,
끌어안다,"to hug, cuddle",3948,
한없다,"to be unlimited, endless",4212,
밀어내다,"to push out, force out",4349,
굳다,"to harden, solidify, get stiff",4305,
보도,report;sidewalk,2358,
여기저기,here and there,1677,
타이밍,timing,3451,
마누라,wife,4018,
지원자,"applicant, volunteer;supporter",3181,
조만간,"soon, shortly, before long",4293,
상의,"discussion, consultation;jacket, coat, shirt, blouse",4397,
선호하다,to prefer,4138,
안정성,stability,4202,
대기업,large company,2166,
적성,aptitude,3927,
근로,"work, labor",3699,
발자국,"footstep, footprint",4698,
자네,you,3789,
노려보다,"to glare, scowl",4161,
쳐들다,"to lift up, raise",4306,
또라이,weirdo,5009,
아침저녁,mornings and evenings,2839,
전체적,"overall, general",2034,
분쟁,"dispute, conflict",5001,
진료,medical examination and treatment,3771,
초라하다,"to be shabby, poor, pitiful",5056,
가불하다,to pay in advance,4877,
우아하다,"to be elegant, graceful",4078,
실크,silk,3385,
절약하다,to economize,3969,
일자리,"job, position",4280,
압도적으로,overwhelmingly,5087,
문제집,workbook,4889,
사항,"matter, item, particulars",4947,
숙지하다,"to know inside out, be fully aware",4974,
채점하다,"to grade, mark",5007,
표명하다,"to express, state",5092,
보관하다,"to keep, store, take charge of",3328,
유일하다,to be the only one,4187,
공통점,common feature,4283,
시위,"demonstration, protest;string",3990,
환절기,change of seasons,4952,
치킨,chicken,1845,
인쇄하다,to print,4580,
자켓,jacket,4224,
초보,"first steps, the beginning",4496,
담요,blanket,3664,
취급하다,"to handle, treat, deal with, deal in",4545,
전자레인지,microwave oven,4109,
램프,lamp,4729,
학창,school,4782,
범죄,crime,3341,
바위,rock,2227,
클럽,club,2502,
권하다,"to advise, recommend, offer",2759,
끝내,"to the last, to the end",2979,
대문,"gate, front gate",3026,
비판하다,"to criticize, pass judgement",3065,
세워지다,"to be built, be established",2477,
확실히,"certainly, for sure",1994,
교류,"exchange, interchange",3810,
섞이다,"to be mixed, be blended",3186,
심리,"mentality;court hearing, trial",3850,
적용하다,"to apply (a rule, changes, etc.)",3547,
그다지,"(not) so much, in that way",3432,
부처,Buddha,3851,
상세하다,"to be detailed, full",4925,
헛소리,"nonsense, silly talk",4616,
정직하다,"to be honest, straightforward",3970,
단추,button,5115,
프린터,printer,4128,
은,silver,5116,
원목,hardwood,5117,
천,"cloth, fabric",5118,
대형,large size,5119,
배달원,delivery man,5120,
재래시장,traditional market,5121,
수산시장,fish market,5122,
장수,"seller, merchant;long life, longevity",5123,
꽃다발,bouquet,5124,
앞머리,"bangs, front hair;forehead",5125,
인상착의,"(the description of) look, personal appearance",5126,
미아,"missing child, lost child",5127,
장식하다,"to decorate, trim, adorn",5128,
여유롭다,to be leisurely,5129,
점치다,"to divine, foretell",5130,
돌잡이,doljabi (when a baby picks out one object from several),5131,
장래,the future,2407,
청진기,stethoscope,5132,
야유회,picnic,5133,
쿵,"with a thud, bang",5134,
떫다,"to be bitter, sour",5135,
안녕하다,"to be well, be in good health",,[sound:tobewell.mp3]
일주일,one week,,
지내다,to spend time;to pursue;to associate with,,
그런,"such, that kind of",,
맛없다,"to be tasteless, unsavory",,
그분,he/she,,
파란색,blue,,
이곳,"this place, here",,
세우다,"to make something stand, erect;to stop, park;to set (up)",,
어서,"please, kindly;quickly",,
벼룩시장,flea market,5136,
길거리,"street, road",5137,
작업실,workroom,5138,
색다르다,"to be different, unconventional, unusual",5139,
완공되다,"to be completed, be completely built",5140,
차량,"car, vehicle",5141,
주목,"attention, notice",5142,
귀금속,"jewelry, precious metal",5143,
탐색하다,"to explore, investigate",5144,
토하다,"to throw up, vomit",5145,
굴욕,"humiliation, indignity",5146,
건반,"keyboard, key",5147,
대인,"adult, noble man;personal",5148,
엉금엉금,"crawling, creeping",5149,
획득하다,"to acquire, gain, win",5150,
평온하다,"to be calm, peaceful, serene",5151,
군것질,eating between meals,5152,
작정,"intention, decision, plan",5153,
이후,"after this, in the future",,
갖다주다,to bring over,,
해마다,every year,,
매주,every week,,
비디오,video,,[sound:video.mp3]
교통사고,traffic accident,,
간단히,"simply, briefly",,
발가락,toe,,
자기소개,self-introduction,,
안쪽,"the inside, the inner part",,
멋,"stylishness, elegance",,
식초,vinegar,,
슬퍼하다,to feel sad,,
위쪽,the upper direction,,
어머님,mother (hon.),,
보물,treasure,5154,
중단하다,"to suspend, discontinue, interrupt",5155,
출판사,publishing company,5156,
클릭하다,to click,5157,
머뭇거리다,"to hesitate, hold back",5158,
사물함,locker,5159,
방문,room door,5160,
해내다,"accomplish, achieve, do",5161,
가업,family business,5162,
대접하다,"to treat, treat to, entertain",4335,
배웅하다,"to see someone out, see someone off",5163,
건달,good-for-nothing,5164,
단정하다,"to be neat, tidy, proper",5165,
간지럽다,"to be ticklish, feel ticklish, itchy",5166,
허탈하다,"to be dejected, dispirited",5167,
자판기,vending machine,,
두세,two or three,,
앞쪽,the front,,
분명하다,"to be clear, obvious",,
김치찌개,kimchi stew,,
메일,mail,,
슬픔,"sorrow, sadness",,
갈비탕,beef rib soup,,
감,persimmon;feeling,,
덜,less,,[sound:less.mp3]
축구공,soccer ball,,
미끄러지다,"to slide, slip",,
배꼽,navel,,
웬일,"what matter, what cause",,
검토하다,"to examine, review, study",5168,
요리책,cookbook,5169,
진수성찬,"feast, lots of food",5170,
부엌용품,kitchen appliances,5171,
개강,beginning of semester,5172,
협찬하다,"to sponsor, support",5173,
도착지,destination,5174,
까불다,"to act up, behave badly or silly",5175,
맛집,restaurant famous for delicious food,5176,
코뿔소,rhinoceros,5177,
버겁다,to be beyond one's capability or resources,5178,
달인,"expert, master",5179,
잠복,"stakeout, hiding and waiting",5180,
벌칙,penalty,5181,
시각,"time;view;sight, vision",5182,
대로,"main street, main road",5183,
배터리,battery,5184,
꼼짝 못하다,to be unable to move at all,5185,
성질,"nature, temper",5186,
뭉치다,"to gather (together), bundle, crumple up",5187,
환호하다,to cheer,5188,
완수하다,"to carry out, accomplish",5189,
쾌감,"pleasant feeling, pleasure",5190,
개조하다,"to remodel, alter",5191,
소유하다,"to own, have",5192,
본격적,"earnest, full-scale, regular",5193,
이적하다,"to transfer, move",5194,
저녁때,evening,,
적당히,"suitably, appropriately, moderately",,
우동,thick white noodles,,
말레이시아,Malaysia,,
몸무게,weight,,
조심스럽다,"to be careful, cautious",,
규칙적,regular,,
플라스틱,plastic,,
정식,"formal, official",,
수상,prime minister,,
뒤집다,"to turn over, turn inside out, reverse",,
단맛,sweet taste,,
당연히,"naturally, of course",,
과학적,scientific,,
넓어지다,to widen,,
나뭇잎,leaf,,
미디어,media,,
자랑스럽다,to be proud,,
얹다,"to put on, place",,
뚜껑,"lid, cover",,
